Flow,Delay,AvDelay,Demand,Delayed Flights,n
22,30,3.18181818181818,22,0,628
22,0,1.81818181818182,22,0,629
21,0,1.9047619047619,21,0,630
20,0,2,20,0,631
19,0,2.10526315789474,19,0,632
18,0,2.22222222222222,18,0,633
18,0,2.22222222222222,18,0,634
18,0,2.22222222222222,18,0,635
17,0,2.35294117647059,17,0,636
16,35,2.5,16,0,637
15,0,0.333333333333333,15,0,638
14,0,0.357142857142857,14,0,639
13,0,0.384615384615385,13,0,640
12,0,0.416666666666667,12,0,641
11,0,0.454545454545455,11,0,642
10,5,0.5,10,0,643
9,0,0,9,0,644
8,0,0,8,0,645
7,0,0,7,0,646
6,0,0,6,0,647
5,0,0,5,0,648
4,0,0,4,0,649
3,0,0,3,0,650
2,0,0,2,0,651
1,0,0,1,0,652
11,0,11.0909090909091,11,0,653
10,89,12.2,10,0,654
9,0,3.66666666666667,9,0,655
9,0,3.66666666666667,9,0,656
8,0,4.125,8,0,657
7,0,4.71428571428571,7,0,658
12,0,44.6666666666667,12,0,659
14,0,58.4285714285714,15,1,660
16,0,92.9375,19,3,661
17,33,121.823529411765,20,3,662
18,0,146.888888888889,23,5,663
22,0,216.409090909091,27,5,664
31,0,345.935483870968,38,7,665
31,7,369.774193548387,39,8,666
31,10,393.677419354839,40,9,667
32,96,428.8125,39,7,668
32,239,450.09375,38,6,669
32,151,465.625,38,6,670
32,48,485.5625,40,8,671
32,64,508.625,39,7,672
32,170,532.625,38,6,673
32,179,553.21875,37,5,674
33,239,585.575757575758,38,5,675
34,251,609.617647058824,38,4,676
34,302,625.588235294118,38,4,677
34,282,636.676470588235,38,4,678
34,286,649.205882352941,38,4,679
34,320,660.794117647059,38,4,680
34,388,673.176470588235,38,4,681
34,378,683.823529411765,38,4,682
34,416,694.852941176471,37,3,683
34,457,704.441176470588,37,3,684
34,478,713.382352941177,37,3,685
34,499,721.882352941176,37,3,686
34,532,730.117647058824,37,3,687
34,540,737.294117647059,37,3,688
34,581,744.470588235294,37,3,689
34,590,750.852941176471,38,4,690
34,583,757.882352941177,37,3,691
34,589,766.558823529412,37,3,692
34,667,775.558823529412,36,2,693
34,672,783.088235294118,37,3,694
34,710,790.441176470588,36,2,695
34,739,796.205882352941,36,2,696
34,748,801.735294117647,36,2,697
34,751,807.117647058823,36,2,698
34,777,812.647058823529,37,3,699
35,777,820.914285714286,38,3,700
35,736,825.942857142857,38,3,701
36,789,836.194444444445,38,2,702
36,786,841.388888888889,38,2,703
